Fuel Type Code,Station Name,City,State,ZIP,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,,,,
ELEC,Thurston County Juvenile Court,Tumwater,WA,98512,Public,,2,,,,,
ELEC,FRED MEYER - #688 Alderwood,Lynnwood,WA,98037,Public,,2,,,,,
ELEC,305 2nd Street Location,Langley,WA,98260,Public,,2,,,,,
ELEC,Port of Poulsbo,Poulsbo,WA,98370,Public,,4,,,,,
ELEC,FRED MEYER - #608 Ballard,Seattle,WA,98107,Public,,2,,,,,
ELEC,The Landmark Business Office,Renton,WA,98057,Public,,4,,,,,
ELEC,Everett Community College,Everett,WA,98201,Public,,6,,,,,
ELEC,Haselwood Family YMCA Silverdale,Silverdale,WA,98383,Public,,2,2,,,,
ELEC,PSEJATC,Renton,WA,98057,Public,,3,,,,,
ELEC,Skagit Valley College,Mt. Vernon,WA,98273,Public,,2,,,,,
